,Reviews,Sentiment,Sentiment_Type
10,"`` flown ba five time western usa england . always decent service . never . problem website impossible navigate . 's terrible , take endless repeating circle loop never lead resolution . lost suitcase . spent hour upon arrival lisbon trying navigate website . frustrating fruitless . three day trip still waiting clothing toiletry electronics . talk real person ? . 's impossible . even quit thinking $ 396 spent secure seat economy turned extra legroom . paid $ 400 extra nothing . done ba . whoop , quite . still get home . `` ; ;",-1,Negative
11,"`` london heathrow istanbul start half-term school holiday flight busy indeed . boarding quite well managed neatly presented pleasant gate agent one went way assist elderly passenger mobility issue . felt singled member ba crew insisted small bag taken checked-in . passenger large bag stopped taking onto flight . flight felt staff member unprofessional towards . aisle seat spoke length couple sitting next country origin . may well invisible . member cabin crew disappeared returned selection drink snack business class compatriot . managed spill liquid even acknowledge . a320 clean , ife even route-map follow journey . rather clinical flight exceptionally basic . received small bottle water two broken digestive biscuit . wifi work ridiculous skyshop accessible either . asked coffee cabin crew member kissed teeth . low ba fallen ? also noted tension member cabin crew 2 colleague . good enough . disembarkation remarkably orderly civilized captain made effort engage passenger flight sensible update . `` ; ;",-1,Negative
12,"`` jan 30th , booked last-minute , transatlantic flight ireland attend funeral close friend mine . , nature trip bad enough . vacation . transatlantic leg flight , ba airline . terrible experience . baby cry right next good portion flight . 's ba 's fault , continue set stage . mid-flight close bathroom middle plane . seat 16j , right behind one bathroom . started leaking sewage passenger compartment . could see water coming toward soon foot . imagine , n't smell great . made bad trip worse got new pair boot . contacted ba explained great detail happened . response essentially , “ sorry ” . contacted verify formal response . responded offering 50 euro voucher use future ba flight , little value , . contacted , giving another chance make right . nothing . 's fault screaming baby , fault restroom overflowed , created disgusting mess , soiled boot . fault made effort make right . inconvenience . 's health safety issue . far tell , 'm one got sewage foot . think completely unacceptable everything avoid flying ba future . `` ; ;",-1,Negative
13,"`` british airway gold guest list member ( lifetime privilege ) . spite given britsh wherever possible . take ten trans ocean trip year . fortunate able fly first class - unfortunately british longer first class product - sell one name first class price fairness deliver would consider good business class experience . point airline sell business class fact better british first class experience ( qatar , emirate ) . flown many million mile british . last week completed around world trip emirate qantas a380 . million ba mile never experience good experience ek qantas . long time ago food beverage service ba truly extraordinary - today would bit stretch even call ordinary - sad decline . seat comfort ( first ) , lounge food , beverage need serious rework . first class traveler british option . sad , truly sad . `` ; ;",-1,Negative
14,"`` another case reviewing british airway flight actually provided . booked several month ago london casablanca via madrid ( madrid casablanca leg iberia ) , returning marrakech direct ba . first marrakech flight cancelled , rebook royal air maroc . ba changed london madrid leg operated iberia . , instead booking ba.com 2 3 leg operated ba , none ba flight - transfer paid-for seat selection london madrid , got arrange refund payment . point airline offering service taking money service , decide later bothered provide paid good faith ? giving 1 10 mark zero reflect zero service received . `` ; ;",-1,Negative
15,"`` memorable day january 9th , family embarked journey london heathrow , terminal 5 , destined glasgow . little anticipate series event would unfold , shaping travel experience tale exceptional service unwavering dedication . navigated bustling corridor airport , journey encountered unexpected hurdle . juncture found grappling booking complication , compounded banking delay . amid quandary , sought assistance british airway personnel terminal 5 , hoping salvage travel plan . enter mr. sathies , beacon hope amidst chaos . demeanour exuding empathy professionalism , mr. sathies swiftly assessed situation hand . despite setback , wasted time springing action , exploring every avenue mitigate impact unforeseen challenge faced . sequence event unfolded remarkable clarity mr sathies tirelessly liaised various stakeholder , including senior colleague managerial counterpart , mr gurvir singh dhillon . collaborative effort culminated solution exceeded expectation . mr. sathies ' unwavering dedication mr. gurvir singh dhillon 's steadfast support , travel arrangement salvaged without incurring additional cost . despite initial uncertainty , family able proceed journey , embarking flight glasgow renewed sense gratitude appreciation exceptional service rendered british airway . reflect upon precise sequence event transpired fateful day , filled profound gratitude towards mr. sathies , mr. gurvir singh dhillon , entire british airway team . meticulous attention detail unwavering commitment customer satisfaction reaffirmed faith british airway paragon excellence within aviation industry . `` ; ;",1,Positive
16,"`` actually get fly ba cancelled flight 3 day notice refused offer acceptable alternative , resulting 2 people losing holiday ( river cruise ) . since , appears standard protocol , ignored every communication regarding obligation compensation option pursue via official channel . `` ; ;",-1,Negative
17,"`` possibly worse check-in experience ever ever . took nearly 50 minute phone call numerous staff check u redemption flight account . utterly bizarre situation procedure 've done without hitch last 20 year . onboard disappointed old style club world seat meaning stepping fellow passenger use toilet . earth still use feel dated . saving grace , quite often case , fabulous cabin crew amazing . fed back ba direct sing praise . finger crossed return leg . `` ; ;",-1,Negative
18,"`` flew lhr ath club europe ba641 dec 31 transfer jal flight back tokyo . first , great expectation service would enjoy board , partly flight time le 4 hour seat configuration club europe typical european business class middle seat empty . afterward , board , remembering took route ba 30 year ago , got feel relaxed unobtrusive courteous service . asked champagne refill couple time , benign smile would come . `` ; ;",1,Positive
19,"`` like british airway world traveller plus product . seat comfy food good . crew flight attentive friendly especially csm came round introduced u made sure comfortable . bar closed half way flight cancun ca n't uplift alcoholic drink cancun . juice , water , tea coffee available . full flight . criticism british airway premium economy feel like actively try split family unless pay £100 pre book seat . majority drink served plastic glass . inflight snack available 11 hour flight . 's upgraded version economy , airline like qantas singapore airline business minus . still worth extra though . `` ; ;",1,Positive
20,"`` come boarding cabin luggage taken , `` plane full '' . asked take cabin , large notebook electronics , nothing change . , sitting plane , holding notebook several pack luggage , think stand stuff hand passport control line warsaw . people around come plane cabin luggage ! `` ; ;",-1,Negative
21,"`` stinking nappy changed business cabin throughout flight miami . four u one family travelling british airway business . british airway gold card member . member british airway executive club since 1979. ever fly british airway , first class business class . become habit fly ba trust safety . regular long haul flight booked british airway first business next year . often fly usa . wife used virgin atlantic gold card however sadly returned ba virgin first class seat product . even service virgin 's gold card department scale , absolutely brilliant loved virgin lounge heathrow . flight miami british airway one double decker aircraft . big believe contributed appalling service . perhaps familiarity breed contempt however , whether business first , view ba aircraft dirty bus sky . food much better . however , flight distinguished smell poo throughout journey caused mother baby , changing nappy within business class cabin , instead , wc . try enjoying lunch glass wine air around permeated smell poo . must three four baby , nappy changed regularly cabin . put screaming ca n't helped , poo . cabin crew nothing , despite asked . telephoned ba customer service ended speaking lady manchester ba office told ba cabin crew many year . told changing nappy cabin allowed , completely unacceptable particularly awful passenger trying enjoy meal . wife flying first class british airway usa april also first class ticket usa booked december . sent complaint ba customer relation behalf four member family travelled british airway december 19 miami lhr put disgusting smell time quite dreadful . received response offering £300 voucher 30,000 avios . , given cost four business class flight miami london , british airway value loss enjoyment travelling stinking cabin , £75 per passenger ! given gold card holder , extremely good customer , clearly top one percent ba customer gold cardholder , behave , god know behave everybody else . tell flying virgin atlantic gold member highly positive . child young , used fly ba first class time would dream changing nappy cabin ! cabin ! complained british airway , asked changing nappy first class would allowed dinner service ignored question . numerous business class flight booked ba course next 12 month well first class flight booked . `` ; ;",-1,Negative
22,`` worst service ever . lost baggage delayed flight missed connection one helping get back . british airway website broken n't let fill missing report n't give missing file report number way contact british airway dumbest ever ai chatbot . `` ; ;,-1,Negative
23,"`` ba 246 21jan 2023 appreciate unprofessional attitude pilot . flight scheduled departure 16:20. advised boarding time 15:20. whole flight full passenger waiting gate board 15:20 . 15:40 cabin crew board . 15:55 pilot board - sao paulo airport duty free branded shopping bag . 16:20 flight still boarding . finally push back 17:00 , 40 minute late . captain came intercom announce delay due 'traffic crew hotel airport ' . sorry captain whole plane saw pilot colleague board fifteen minute cabin crew clutching duty free pilot colleague still made time stop . `` ; ;",-1,Negative
24,"`` great experience . could check online two separate part ba computer system talk . lhr delightful check clerk sorted quickly , manually ! boarded time , luggage loading halted captain spotted technical issue engineer called . time sorted missed slot took hour behind schedule . flight uneventful , plane clearly seen better day , legroom appalling handout small bottle water soggy cookie made one wish day flying ba meant something special . next time jet2 . `` ; ;",1,Positive
25,"`` excited fly ba 'd travelled long haul 25yrs . 've travelled australia many occasion , 've pretty much travelled . terrible experience . ba become ryanair long-haul travel , riding previous good name reputation . delayed 5hrs terminal , offered one glass water last minute meal - additional drink offered . charging point outdated 3 5 n't work ( family five travelling ) . flight entertainment also outdated movie available poor compared airline . food atrocious - flew ba lhr-hongkong return cathay hk-australia return comparison vast . offered pre meal drink snack , drink meal , menu flight knew choice , quality food vastly better cathay . luggage lost nearly two hour hong kong arrived london , one bag badly damaged unusable . redeeming part crew return flight amazing . severine angel helped make journey pleasant kid . `` ; ;",-1,Negative
26,"`` want warn everyone worst customer service experience ever ! really look like british airway customer service phone trained help anyway create problem rather solving . last week called british airway make reservation family . time explained customer service representative wanted make booking pay transfer mile american express . representative told u could make reservation mile account , asked u contact american express make transfer booking could made . conversation recorded british airway could checked . immediately called amex ( within 30 minute ) solicited transfer 500k mile . amex clearly stated u whether sure transfer reversible . said fine since checked previously british airway . called british airway immediately make reservation miami . confirmed mile arrived account , surprise told u space ( even one seat miami ) could use mile . explained situation led believe could flight mile transferred mile , went deaf ear . called german office , absolutely unhelpful , also called uk customer service unhelpful . manager able open flight u mile kept repeating possible ( even though paid flight got seat also seat available would gold status ) . end british airway took absolutely responsibility causing problem , give u solution , kept mile pay trip miami . service customer company business . every time call made u wait 45 minute answer put u hold , 2 day waiting talking british airway 2 hour day , line 45 minute time . told lady agent hang phone long phone customer ? customer ? never help u . `` ; ;",-1,Negative
27,"`` paid business class travelling cairo london heathrow got economy seat . difference economy middle seat vacant . could n't recline , entertainment 5hr+ flight , uncomfortable seat disgusting food . put formal complaint 3 day ago reply . ba 's account x hacked . got approached scammer posting even flagging ba nothing done . disgusting . avoid . `` ; ;",-1,Negative
28,`` plane extremely dirty chocolate smudged mine child 's seat . wipe seat . landed immediately realized left camera 's bag airplane overhead cabin . would let back plane security reason went british airway team ground & refused contact cabin crew threw massive fuss manager reluctantly agreed point cabin crew disembarked . 's 3 week sign camera assumed stolen . complained british airway get automated/generic response keep checking lost property . zero customer service regular customer could mitigated willing help beginning - disappointed . `` ; ;,-1,Negative
29,"`` overall journey n't bad however end , baggage arrival nearly took 1.5 hour ( actual flight time ) . baggage flight arriving delivered whereas baggage staff airport clue information baggage flight n't arrived . raised hand saying ca n't anything . poor communication customer facing skill . `` ; ;",-1,Negative
30,"`` overall satisfied . ground staff member yvr extremely helpful & courteous . a350 month old , seat good order & comfortable standard modern day class seat , although small washroom already starting look bit shabby . cabin crew friendly & professional , & meal service carried reasonable time flight . choice 2 option main meal leg journey 1 month apart . flight departed time unfortunately upon landing lhr unable deplane quite time due staffing issue lhr fault airline , given frequent update situation flight manager & flight deck . `` ; ;",1,Positive
31,"`` always fly ba total shamble . booked manchester - london - madrid , ba first leg iberia 2nd , try wherever possible avoid ba , however manchester - london late , however ran ib flight got b gate boarding started , group 1 went board gate sounded alarm , ba removed ib flight ba flight 3 hour later ! ba reissued ticket ib could put back flight , 3 hour wasted ba 's total incompetence . airline total disgrace , crew nice , typical ba crew oh im fabulous n't need nice paying passenger , club europe cramped terrible food ! `` ; ;",-1,Negative
32,`` first time using ba business class pleased service received . one waiting check in/bag drop security 2 minute . used lounge b gate area found quiet plenty food drink offer . boarding quick cabin 1x2x1 layout 12 seat although larger b/c cabin behind 30 seat . food drink plenty full good quality . service cabin crew excellent cabin manager ( lauren ) even made birthday card found wife 's special birthday . departed early arrived jfk early well . thing disliked paying £117 select seat free wi-fi . `` ; ;,1,Positive
33,"`` extremely rude ground service . non-rev flying london connection/layover . gate agent extremely rude forced check carry suitcase explanation “ oversized. ” however , put sizer , fit perfectly without force . plane fully booked lot room overhead . gate agent insistent rushed u regard fact would redo security order get bag , switching airline needed carry due non-rev status . flight good , attendant polite helpful . complains . extremely unhappy gate agent service . understand pleasant job frankly would overjoyed work either explain inconvenienced fair explanation attention . `` ; ;",1,Positive
34,"`` son flew geneva last sunday skiing holiday le arc . flight cancelled moment prior boarding transferred flight departing three half hour later , got delayed three hour . n't load food plane forgot load baggage business class passenger earlier flight . problem happen , 's complex operation . totally unacceptable service one receives problem . offshore call centre unhelpful obstructive , wanting fob issue getting customer call special help line merely refer one webpage cut . web page often unable give information updated often refuse update input 'at time . please try later ' . access people willing help , empowered help , actually move situation forward way . 've sitting hotel waiting bag arrive two half day , unable ski due entire wardrobe case . outdated luggage 'tracking system ' , suitacase geneva 2 day ago , sat no-one willing step get delivered . incredibly heartless incompetent company . `` ; ;",-1,Negative
35,"`` price paid ( bought sale ) decent experience although club class ( business class ) seat offer legroom economy class ( using short-haul fleet 4 hour flight ) . fast track security honoured . lounge istanbul airport over-crowded also open public pay usage , causing long queue entry , badly organised . boarding smooth , cabin crew friendly service hit-and-miss . eg . people got “ welcome ” n't ; half cabin automatically offered coffee dinner half . however , drink replenished generously regularly meal good ( choice three main menu ) . `` ; ;",1,Positive
36,"`` flight left time arrived half hour earlier scheduled ( thanks strong tail wind ) . flight full catering loaded economy passenger heathrow 3 half hour small bottle water small packet corn snack . nothing available even buy eat ! worse low-cost carrier experience sense . one light panel overhead seat towards back plan broken loose hanging unfortunate passenger 's head whole flight ( poor maintenance cabin ) . would choose another airline route future , one competitor offer full meal service route even economy cabin . `` ; ;",-1,Negative
37,"`` poor business class product , ba even close airline leader . ever way sell seat 777 2-4-2 layout . cabin feel cramped . food business class economy quality served china dish ! however , price course premier level . positive whole fight return cabin crew fantastic . felt genuinely sorry try flog poor product . would fly ba business ? option choice . `` ; ;",-1,Negative
38,"`` review lhr-syd-lhr . ba015 ba016 . business class 1-2-1 configuration 777 giving space , privacy easy aisle access . seat reclines comfortable flat bed . good quality pillow duvet . privacy sliding door . good storage space around seat charging point . flight time - delay . gluten free meal poor quality presentation . warm processed meat two bland slice gf bread apparently business class breakfast . two sector main course ( choice offered ) bland fish served single small tray covered foil - business class ? condensation formed dish reheated ( probably chilled ) offering sitting weak watery liquid . one crew member appeared genuinely apologetic meekly served one meal . ba also serve gf offering economy , economy plus first long haul flight ? advice gf - take food dine lounge care ba 24 hour . travelling companion good regular meal , told , choice main course flight . crew gave impression job covering basic rather welcoming engaging . usual hospitality industry waffle service little substance delivered . `` ; ;",0,Neutral
39,"`` absolutely pathetic business class product . ba even remotely competitive international airline business class market . old outdated 8 across seating - , make typing mistake - either climb across someone someone climb across gain aisle access . crew must also hate layout since reach little window opening provide service passenger 2 center seat . ba , like european-based airline factual intra-european business class product even though promote & sell business class . intra-europe flight feature 3+3 seating throughout aircraft & difference middle seat left empty `` business class '' & passenger get meal & drink , justify higher cost . ba 's trans-atlantic business class product slightly better `` narrow '' 8 across seating . biggest surprise lis/lhr & lhr/iah flight ba , fact , substantially improved food quality . shocking ! unfortunately , served worst business class configuration international airline flown . entertainment system & small screen - laptop screen twice size - like airline offering 2 decade ago . flight crew `` pleasant & perfunctory '' best one expect ba crew . ba simply never match quality carrier like singapore , emirate , qatar , etihad , eva , ana , japan , air new zealand , qantas many others . ba compete us-based airline like delta , american & united , also even universe term high-quality business class product . one biggest slap face ba expects business class passenger pay select seat , even though paid thousand dollar fly business class . several hundred u dollar trans-atlantic flight . wait 24 hour flight time allowed select seat cost . certainly another ba management decision made without functioning brain . `` ; ;",-1,Negative
40,"`` overall bad . staff look tired overworked , trying best . weird seat , 21g going , 21d going home . button press seat recline stiff get help flight get work . another button , also stiff , bring “ leg rest ” . awkward thing n't come far enough use leg , obstructs foot really . , get help activate stiff button . one point , lady next pressing button tried recline , sit , put “ leg rest ” back . gave called flight attendant , also trouble . ba : please give maintenance ! food : one three menu choice available time got premium ec . pasta bad . christmas turkey dinner offered , load popular available 10 minute meal service ? “ breakfast ” unidentified soggy pastry thing cardboard tube . disgusting , offered return journey . cold pastry fruit would much nicer . tea coffee hot least . overall , would say air canada provides much superior premium ec service ba . wo n't choose ba . `` ; ;",-1,Negative
41,"`` first flight british airway 13 year usual could n't fault . connecting , little interaction ground staff - staff lounge friendly helpful . cabin crew flight great - welcoming friendly . meal delicious & shortage drink offered . seat economy seat middle row blocked recline . arrived stockholm little early snow shower nice welcome back stockholm . bag ( checked jfk ) delivered safely within 20 min arriving . `` ; ;",1,Positive
42,"`` recently encountered highly disappointing experience british airway , specifically regarding customer service . initial flight leg canceled , rebooked connection london heathrow reduced mere 1 hour 30 minute . realizing impracticality , promptly contacted british airway within 10 minute request reasonable layover 3-4 hour . shockingly , customer support representative flatly refused , citing inability change flight . despite explaining logistical challenge short layover terminal change requiring additional security procedure , received assistance . add frustration , representative inaccurately noted account presented multiple option conversation . moreover , use military time format lack initial option provided exacerbated communication issue . phone email support proved equally incompetent , informed customer service outsourced india , allegedly contributing subpar service . experience left struggling rebook flight also strong resolve avoid british airway future . lack assistance , blame-shifting , overall incompetence customer service make worst experience yet . strongly advise others steer clear british airway appalling customer service . `` ; ;",-1,Negative
43,"`` beware ! ba n't provide refund due serious medical reason . father diagnosed severe heart defect couple week flight date ba refused give refund good enough reason ! ! sent medical note doctor saying unfit travel due potential heart failure need heart surgery soon possible , operator totally dismissed . said thing change travel date within year . heart surgery recovery take month 's highly unlikely able travel within year , meaning would lose ticket money ! said ca n't anything help , even change name ticket someone else use ticket ! ridiculous thing 've heard ! `` ; ;",-1,Negative
44,"`` check chaotic badly organised . even though two desk , one premium one economy , ended one queue , front premium check , even though passenger economy . meant travelling club higher status separate queue join . whilst waiting line another passenger went query ended forming new line front economy check desk premium passenger , unnecessarily badly organised , staff charge retrained ! security airport quick lounge . generic airport lounge airline , actually quite good overall . nice layout seating option , reasonable food drink option , outdoor terrace really nice . boarding well organised , although quite slow get everyone board .. flight probably half full still departed early think felt rush .. actually made boarding experience nicer relaxed . board club europe seat fine european business standard , although previously commented really good overall .. meal service disappointing . normal , ba stock enough proper meal option .. option limited varied quality ba really stock enough everyone good meal . sadly run time got option vegetarian sausage salad . wanted hot meal went sausage honestly say one disgusting onboard meal 've ever cabin class , rolling mush ( similar consistency mashed potato ) sausage shape make sausage ! ba need improve meal option , make vegetarian meal something specifically request advance offer passenger choice two decent meal .. people left substandard alternative first choice run ! whilst n't planned using , board wifi functioning available use . overall though flight fairly comfortable cabin crew friendly efficient . used avios pay flight obviously good value money ! `` ; ;",0,Neutral
45,"`` 4 flight fine term comfort , punctuality service . feel safe ba main reason booking even though could travel airline directly . return flight atl/lhr skipped evening meal preferring sleep looking forward hearty breakfast prior arrival lhr . sadly seriously disappointed . serve chicken sausage wrap business class breakfast unacceptable . ba actually pay expert design breakfast ? low point otherwise good trip . `` ; ;",-1,Negative
46,"`` ci hoped would good review unfortunately wo n't . flew business class lhr pdx ba nonstop . 787–8 series aircraft . flight attendant specifically mentioned eight year old recalled flying brand new . business class seat abysmal . seat window facing backwards . divider , position boarding , taxi , takeoff landing , literally foot away person aisle seat facing forward , could n't help stare one another . could n't avoided . horrible . service n't good either . flight attendant pre-dinner drink . came back ask choice dinner , said none selection left . little upset nothing else appealed . came back later , said part aircraft meal selection wanted . 'm sure n't coordinate begin . offered wine drink dinner . meal put front flight attendant never came back clear tray . overall , flight good . flew american back ba paid $ 6000 round-trip . 'd fly american . preferred carrier united lufthansa . 'll never fly ba . `` ; ;",-1,Negative
47,"`` going fly frankfurt glasgow london flight london frankfurt cancelled . meant stay overnight london accommodation etc . rebooked flight london city airport 2h train get uber take hotel £250 total ( london price ) . reassured phone would get money back . flight london city airport cancelled rebooked london heathrow two day later . cancelled flight rebooked new one lufthansa urgently get work needed money . never received money back hotel , compensation cancelled flight 1 , compensation cancelled flight 2 , extra food pay , uber , actual cost flight . first transferred 3€ british airway . stopped replying told issue `` weather condition '' although non-ba flight going . lost £700 total never got compensated loss work day either . really feel like n't care people . worst service/airline ever . `` ; ;",-1,Negative
48,"`` much better experience time around . flew cpt lhr new a350 . checkin efficient . used bidvest lounge cpt better ba 's lounge . boarding speedy . new business class club suite good . slightly irritating directed wrong seat ( 1a instead 1k ) meant settling passenger 1a showed . arranged seat switch . second time row happened . ca n't ba staff memorise side plane get right ? captain 's announcement short point . welcome drink served correct temperature i.e . cold ( first time ever - previously ba always served welcome champagne warm ) . ife system good - everything worked . felt slightly cheap business class passenger pay wifi . bother . cocktail good . nut came cheap plastic tray naff ... airline bring something classier . female flight attendant came take order asked rooibas panacotta chicken breast . repeated back `` want p c '' . bizarre thing say misheard . thought said `` want beef sea '' ? confusion reigned explained checklist passenger order abbreviate first letter saying `` p '' panacotta `` c '' chicken . bizarre repeat back order passenger code . say , `` confirm panacotta start chicken main dish '' , like every restaurant / airline world ? internal coding food ordering exactly - internal . even looked irritated understand jargon first time . food , came , excellent . much much better recent flight . read somewhere ba changed caterer . , show . panacotta superb chicken ... good restaurant quality . wine ok good definitely good excellent . feel food got better ba business class , wine got worse . certainly compared air france also flown recently . wine brought time ( afer finished eating lass time flew ba business ) . cheese also good teeth crackingly cold last time . good night 's sleep . plenty snack wanted ( run ) . breakfast excellent coffee hot ( previously lukewarm ) . vastly improved service offering . staff seemed rushed foot ... would hurt extra flight attendant look many business class seat . overall summary : vastly improved passenger proposition . would 10/10 deduct point showing wrong seat another point bizarre interaction female flight attendant repeated food order back using internal jargon code . `` ; ;",1,Positive
49,"`` terrible business class experience ba . flight delayed 4.5 hour , plane old problem least 4 seat business class cleaned properly prior departure . food terrible always ba one choice available advertised menu . result delay missed connecting flight heathrow instead putting u next connection chose second last flight day - also delayed hour meaning additional 4 hour delay whilst heathrow . point advised compensation right ( despite asking check connection ) provided voucher delay . flown etihad , qatar virgin business class equivalent last year clear see big gulf ba rival . `` ; ;",-1,Negative
50,"`` ba a380 's showing age , hopefully update interior soon let especially flight last 11 hour . cabin crew good helpful . dinner ok breakfast grim . board entertainment latest seat back usb point n't work . upside ba 1 2 airline fly route directly pricing reflects , 're prepared lay better airline . `` ; ;",1,Positive
51,"`` credit ba - flew singapore recently also back doha london experience great . service fantastic quality food , entertainment left feeling ba got together previous average experience . definitely notice difference staff ba - far approachable outgoing compared cold corporate middle eastern airline crew . nice one ba 2 great flight . `` ; ;",1,Positive
52,"`` check area premium class gatwick nice , queue arrived able drop bag quickly . premium security gatwick fine . flight delayed due nats issue , member staff arriving lounge let know . lounge nicevand ' comfortable . excellent range food drink . drink would expect . food wise sandwich , soup , pasta , salad , fruit , spanish stew , well turkey ham pie mashed potato , roasted parsnip carrot gravy . really good particularly nice see many option . boarding pretty slow , although gate crew good job keep well organised allow priority passenger board first . well documented onboard experience term seat ba europe business pretty poor , line european carrier sadly . said , seat well padded comfortable adjustable headrest quite good . board catering excellent quality . lucky get preferred option roast turkey , several people sat near n't lucky . understand meal option may run meal option roast turkey trimming , vegetarian cottage pie chicken salad really stocking enough every passenger get proper meal failing , allow order advance service stock meal people want eat . whilst fully support desire minimise waste , food cost , people really really able get ideal meal option . unfortunately one people affected reacted badly took cabin crew unacceptable .. also lost bit perspective serious situation actually ! cabin crew nice , friendly professional , little slow .. point detracting positive experience . ground service gran canaria pretty poor , priority bag clearly meant nothing . 95 % bag coming priority , mine came halfway bag delivery demonstrates poor delivery service fulfilling service promise customer . overall though nice flight , paid using avios £1 complain . `` ; ;",1,Positive
53,`` flight took little late due heathrow congestion still landed schedule . boarding smooth onboard service efficient . small snack served free bottle water '' ; ;,1,Positive
54,"`` ba great air ! ... sell connection thru london heathrow terminal 5 ( private , ba-only terminal ) practically able make . 90 minute stopover time , european flight inbound , transatlantic flight outbound , arrive terminal gate time ... book , security ! endless line , slow process . boarding start nowhere near x ray , .... train ride withing terminal ( different , distant building ) . almost impossible make . lot stress . `` ; ;",-1,Negative
